design_name,width_mm,height_mm,price_gbp,helions_sku,supplier_sku,supplier_price,photo_url,supplier_email
Hertfordshire,3000,1600,1349,HF001DG,RMG001DG,803.04,https://helionsforge.com/wp-content/uploads/2025/12/Hertfordshire-Aluminium-Driveway-Gates.jpg,orders@readymadegates.co.uk
Hertfordshire,3000,1800,1494,HF001DG,RMG001DG,889.28,https://helionsforge.com/wp-content/uploads/2025/12/Hertfordshire-Aluminium-Driveway-Gates.jpg,orders@readymadegates.co.uk
Hertfordshire,3000,2000,1537,HF001DG,RMG001DG,915.04,https://helionsforge.com/wp-content/uploads/2025/12/Hertfordshire-Aluminium-Driveway-Gates.jpg,orders@readymadegates.co.uk
Hertfordshire,3000,2200,1683,HF001DG,RMG001DG,1001.84,https://helionsforge.com/wp-content/uploads/2025/12/Hertfordshire-Aluminium-Driveway-Gates.jpg,orders@readymadegates.co.uk
Hertfordshire,3250,1600,1421,HF001DG,RMG001DG,845.6,https://helionsforge.com/wp-content/uploads/2025/12/Hertfordshire-Aluminium-Driveway-Gates.jpg,orders@readymadegates.co.uk
Hertfordshire,3250,1800,1577,HF001DG,RMG001DG,938.56,https://helionsforge.com/wp-content/uploads/2025/12/Hertfordshire-Aluminium-Driveway-Gates.jpg,orders@readymadegates.co.uk
Hertfordshire,3250,2000,1625,HF001DG,RMG001DG,967.12,https://helionsforge.com/wp-content/uploads/2025/12/Hertfordshire-Aluminium-Driveway-Gates.jpg,orders@readymadegates.co.uk
Hertfordshire,3250,2200,1780,HF001DG,RMG001DG,1059.52,https://helionsforge.com/wp-content/uploads/2025/12/Hertfordshire-Aluminium-Driveway-Gates.jpg,orders@readymadegates.co.uk
Hertfordshire,3500,1600,1489,HF001DG,RMG001DG,886.48,https://helionsforge.com/wp-content/uploads/2025/12/Hertfordshire-Aluminium-Driveway-Gates.jpg,orders@readymadegates.co.uk
Hertfordshire,3500,1800,1659,HF001DG,RMG001DG,987.28,https://helionsforge.com/wp-content/uploads/2025/12/Hertfordshire-Aluminium-Driveway-Gates.jpg,orders@readymadegates.co.uk
Hertfordshire,3500,2000,1708,HF001DG,RMG001DG,1016.4,https://helionsforge.com/wp-content/uploads/2025/12/Hertfordshire-Aluminium-Driveway-Gates.jpg,orders@readymadegates.co.uk
Hertfordshire,3500,2200,1872,HF001DG,RMG001DG,1114.4,https://helionsforge.com/wp-content/uploads/2025/12/Hertfordshire-Aluminium-Driveway-Gates.jpg,orders@readymadegates.co.uk
Hertfordshire,3750,1600,1566,HF001DG,RMG001DG,932.4,https://helionsforge.com/wp-content/uploads/2025/12/Hertfordshire-Aluminium-Driveway-Gates.jpg,orders@readymadegates.co.uk
