item_name,supplier_name,supplier_price,helions_price,supplier_email
Pedestrian Gate Post (Hinge),Ready Made Gates,56.56,79.18,orders@readymadegates.co.uk
Pedestrian Gate Post (Receiver),Ready Made Gates,56.56,79.18,orders@readymadegates.co.uk
Driveway Gate Post Medium,Ready Made Gates,119.84,167.78,orders@readymadegates.co.uk
Driveway Gate Post Large,Ready Made Gates,129.92,181.89,orders@readymadegates.co.uk
PG - Custom Painted Finish,Ready Made Gates,125,175.00,orders@readymadegates.co.uk
PG - Custom Size Modification,Ready Made Gates,50,70.00,orders@readymadegates.co.uk
Lockable Drop Bolt,Ready Made Gates,40,56.00,orders@readymadegates.co.uk
Aluminium Hold Back Catch,Ready Made Gates,18,25.20,orders@readymadegates.co.uk
DG - Custom Painted Finish,Ready Made Gates,250,350,orders@readymadegates.co.uk
DG - Custom Size Modification,Ready Made Gates,100,140,orders@readymadegates.co.uk
Locinox Central Ground Stop,Ready Made Gates,25,35,orders@readymadegates.co.uk
Remove Feet for Underground Motors,Ready Made Gates,50,70,orders@readymadegates.co.uk
Pair of Underground Shoes,Ready Made Gates,150,210,orders@readymadegates.co.uk
DG - Sash Lock & Handle Fitted,Ready Made Gates,46,64.4,orders@readymadegates.co.uk
