design_name,width_mm,height_mm,price_gbp,helions_sku,supplier_sku,supplier_price,photo_url,supplier_email
Hertfordshire,800,1800,302.62,HF001PG,RMG001PG,216.16,https://helionsforge.com/wp-content/uploads/2025/01/hertfordshire-aluminium-pedestrian-gate.jpeg,orders@readymadegates.co.uk
Hertfordshire,850,1800,308.11,HF001PG,RMG001PG,220.08,https://helionsforge.com/wp-content/uploads/2025/01/hertfordshire-aluminium-pedestrian-gate.jpeg,orders@readymadegates.co.uk
Hertfordshire,900,1600,309.68,HF001PG,RMG001PG,221.2,https://helionsforge.com/wp-content/uploads/2025/01/hertfordshire-aluminium-pedestrian-gate.jpeg,orders@readymadegates.co.uk
Hertfordshire,900,1800,313.6,HF001PG,RMG001PG,224,https://helionsforge.com/wp-content/uploads/2025/01/hertfordshire-aluminium-pedestrian-gate.jpeg,orders@readymadegates.co.uk
Hertfordshire,950,1800,319.09,HF001PG,RMG001PG,227.92,https://helionsforge.com/wp-content/uploads/2025/01/hertfordshire-aluminium-pedestrian-gate.jpeg,orders@readymadegates.co.uk
Hertfordshire,900,2000,333.2,HF001PG,RMG001PG,238,https://helionsforge.com/wp-content/uploads/2025/01/hertfordshire-aluminium-pedestrian-gate.jpeg,orders@readymadegates.co.uk
Hertfordshire,1000,1600,317.52,HF001PG,RMG001PG,226.8,https://helionsforge.com/wp-content/uploads/2025/01/hertfordshire-aluminium-pedestrian-gate.jpeg,orders@readymadegates.co.uk
Hertfordshire,1000,1800,324.58,HF001PG,RMG001PG,231.84,https://helionsforge.com/wp-content/uploads/2025/01/hertfordshire-aluminium-pedestrian-gate.jpeg,orders@readymadegates.co.uk
Hertfordshire,1000,2000,337.12,HF001PG,RMG001PG,240.8,https://helionsforge.com/wp-content/uploads/2025/01/hertfordshire-aluminium-pedestrian-gate.jpeg,orders@readymadegates.co.uk
Hertfordshire,1100,1600,325.36,HF001PG,RMG001PG,232.4,https://helionsforge.com/wp-content/uploads/2025/01/hertfordshire-aluminium-pedestrian-gate.jpeg,orders@readymadegates.co.uk
Hertfordshire,1100,1800,333.98,HF001PG,RMG001PG,238.56,https://helionsforge.com/wp-content/uploads/2025/01/hertfordshire-aluminium-pedestrian-gate.jpeg,orders@readymadegates.co.uk
Hertfordshire,1100,2000,348.88,HF001PG,RMG001PG,249.2,https://helionsforge.com/wp-content/uploads/2025/01/hertfordshire-aluminium-pedestrian-gate.jpeg,orders@readymadegates.co.uk
