item_name,supplier_name,supplier_price,helions_price,supplier_email,supplier_sku
24V FROG-X Underground Motor Kit (1 Leaf),CAME,648.00,907.20,cuk.orders@came.com,
24V FROG-X Underground Motor Kit (2 Leaf),CAME,974.50,1364.30,cuk.orders@came.com,
CAME FROGX 180 Degree Opening Trans Kit,CAME,114,159.60,cuk.orders@came.com,
AXO Motor Kit 3meter 500K (2 Leaf),CAME,829,1160.60,cuk.orders@came.com,
FTX-P Kit (Arictulate Arms),CAME,557.5,780.50,cuk.orders@came.com,
FAST70 Motor Kit (2),CAME,637,891.80,cuk.orders@came.com,
BXV Sliding Gate Motor Kit,CAME,461.5,646.10,cuk.orders@came.com,
Standard Line 16 x 12mm | Up to 1.5m (1 Wire),CAME,85.6,119.84,cuk.orders@came.com,
Standard Line 16 x 12mm | Up to 1.7m (1 Wire),CAME,91.8,128.52,cuk.orders@came.com,
Standard Line 16 x 12mm | Up to 2m (1 Wire),CAME,100.5,140.70,cuk.orders@came.com,
Standard Line 16 x 12mm | Up to 2.5m (1 Wire),CAME,116,162.40,cuk.orders@came.com,
DIR Photocells (Pair) 10m Range,CAME,33.06,46.28,cuk.orders@came.com,
DXR20CAP Adjustable Photocells (Pair),CAME,55,77.00,cuk.orders@came.com,
DXR BUS Photocells (Pair),CAME,54.5,76.30,cuk.orders@came.com,
DXR Wire & Battery (Pair),CAME,60.5,84.70,cuk.orders@came.com,
MTMA GSM Connect Audio Kit Surface 1 Button(s) with Keypad (Black) - Surface Mounted,CAME,695,973.00,cuk.orders@came.com,
MTMA GSM Connect Audio Kit Surface 1 Button(s) with Keypad (Black) - Flush Mounted,CAME,649.4,909.16,cuk.orders@came.com,
CAME LHS to PLX Audio 1 Way Kit (Kit Comes with a PSU),CAME,240.04,336.06,cuk.orders@came.com,
LHS Video Intercom with Bluetooth,CAME,778.6,1090.04,cuk.orders@came.com,
LHS Video Intercom with Bluetooth,CAME,778.6,1090.04,cuk.orders@came.com,
XTS 7SI - Mounting Box - Standard,CAME,8.7,12.18,cuk.orders@came.com,
XTS 7SIC - Plasterboard Mounting Box,CAME,7.14,10.00,cuk.orders@came.com,
XTS 7KT Desktop Stand,CAME,80.24,112.34,cuk.orders@came.com,
CAME 3amp Boxed 12V PSU,CAME,64.8,90.72,cuk.orders@came.com,
CAME SIM 4G 12 Month Contract,CAME,90,126.00,cuk.orders@came.com,
CAME SIM 4G 12 Month Contract,CAME,180,252.00,cuk.orders@came.com,
CAME Mag Lock,CAME,94.35,132.09,cuk.orders@came.com,
Z Plate for Mag Lock,CAME,51.43,72.00,cuk.orders@came.com,
TOP44RBN Four Channel Rolling Code Transmitter,CAME,20.4,28.56,cuk.orders@came.com,
AES E-loop Inground Commercial Kit EXIT,CAME,385,539.00,cuk.orders@came.com,
Diablo VD909 Mini Exit Sensor & Module Kit,CAME,185,259.00,cuk.orders@came.com,
CAME Keypad (Surface Mounted),CAME,44.45,62.23,cuk.orders@came.com,
CAME Keypad (Flush Mounted),CAME,42.15,59.01,cuk.orders@came.com,
Surface-mount CXN BUS transponder,CAME,37.7,52.78,cuk.orders@came.com,
Recess-mount contact-free selector,CAME,112,156.80,cuk.orders@came.com,
Photocell post (Concrete),CAME,56,78.40,cuk.orders@came.com,
Swan Neck Intercom Post (Concrete),CAME,247,345.80,cuk.orders@came.com,
Wiska Black 500 x 400 x 240 IP65,CAME,60,84.00,cuk.orders@came.com,
Exterior Fused Spur,CAME,17.69,24.77,cuk.orders@came.com,
CXT20 Industrial Brass Gland (2 Pack),CAME,4,5.60,cuk.orders@came.com,
Wiska Black IP65 Weatherproof Utility Box 100 x 100mm,CAME,4,5.60,cuk.orders@came.com,
Wago Block,CAME,18.7,26.18,cuk.orders@came.com,
100mm x 100mm Fence post (2400mm),CAME,25,35.00,cuk.orders@came.com,
